iter	Passed	Remaining
391	1321	2050
392	1325	2046
393	1328	2043
394	1332	2040
395	1335	2036
396	1338	2033
397	1341	2029
398	1344	2025
399	1347	2021
400	1351	2018
401	1354	2014
402	1357	2011
403	1360	2007
404	1364	2004
405	1367	2000
406	1371	1997
407	1374	1994
408	1377	1990
409	1380	1987
410	1384	1983
411	1387	1980
412	1390	1976
413	1393	1973
414	1397	1969
415	1400	1966
416	1404	1962
417	1407	1959
418	1410	1955
419	1413	1952
420	1417	1949
421	1420	1945
422	1423	1941
423	1426	1938
424	1430	1934
425	1433	1931
426	1436	1927
427	1445	1931
428	1448	1928
429	1452	1925
430	1455	1921
431	1458	1917
432	1462	1914
433	1465	1911
434	1468	1907
435	1472	1904
436	1475	1900
437	1479	1897
438	1482	1894
439	1485	1890
440	1488	1887
441	1492	1883
442	1495	1880
443	1498	1876
444	1501	1873
445	1505	1869
446	1508	1866
447	1511	1862
448	1515	1859
449	1518	1855
450	1521	1852
451	1524	1848
452	1528	1845
453	1531	1841
454	1534	1838
455	1537	1834
456	1541	1831
457	1544	1827
458	1547	1824
459	1550	1820
460	1554	1817
461	1557	1813
462	1560	1810
463	1563	1806
464	1567	1803
465	1570	1799
466	1573	1796
467	1577	1792
468	1580	1789
469	1583	1785
470	1587	1782
471	1590	1778
472	1593	1775
473	1596	1772
474	1600	1768
475	1603	1765
476	1607	1762
477	1610	1758
478	1613	1755
479	1616	1751
480	1619	1747
481	1623	1744
482	1626	1740
483	1630	1737
484	1633	1734
485	1636	1730
486	1639	1726
487	1642	1723
488	1645	1719
489	1649	1716
490	1652	1712
491	1655	1709
492	1658	1706
493	1662	1702
494	1665	1699
495	1668	1695
496	1672	1692
497	1675	1689
498	1678	1685
499	1682	1682
500	1685	1678
501	1688	1675
502	1691	1671
503	1695	1668
504	1698	1664
505	1701	1661
506	1705	1658
507	1708	1654
508	1711	1651
509	1715	1648
510	1718	1644
511	1722	1641
512	1725	1637
513	1728	1634
514	1731	1630
515	1735	1627
516	1738	1623
517	1741	1620
518	1744	1616
519	1747	1613
520	1751	1610
521	1754	1606
522	1757	1603
523	1760	1599
524	1764	1596
525	1767	1593
526	1771	1590
527	1774	1586
528	1778	1583
529	1781	1579
530	1784	1576
531	1787	1572
532	1791	1569
533	1794	1565
534	1797	1562
535	1800	1558
536	1804	1555
537	1807	1551
538	1810	1548
539	1814	1545
540	1817	1541
541	1820	1538
542	1823	1534
543	1827	1531
544	1830	1527
545	1833	1524
546	1837	1521
547	1840	1517
548	1843	1514
549	1846	1511
550	1850	1507
551	1853	1504
552	1856	1500
553	1860	1497
554	1863	1494
555	1866	1490
556	1870	1487
557	1873	1483
558	1876	1480
559	1879	1476
560	1882	1473
561	1886	1469
562	1889	1466
563	1892	1463
564	1895	1459
565	1899	1456
566	1902	1452
567	1906	1450
568	1909	1446
569	1912	1443
570	1916	1439
571	1919	1436
572	1922	1432
573	1926	1429
574	1929	1425
575	1932	1422
576	1935	1419
577	1939	1415
578	1942	1412
579	1945	1408
580	1948	1405
581	1952	1401
582	1955	1398
583	1959	1395
584	1962	1392
585	1965	1388
586	1969	1385
587	1972	1381
588	1975	1378
589	1978	1374
590	1982	1371
591	1985	1368
592	1988	1364
593	1991	1361
594	1995	1358
595	1998	1354
596	2001	1351
597	2004	1347
598	2008	1344
599	2010	1340
600	2014	1337
601	2017	1333
602	2020	1330
603	2024	1327
604	2027	1324
605	2030	1320
606	2034	1317
607	2037	1313
608	2041	1310
609	2045	1307
610	2048	1304
611	2052	1301
612	2056	1298
613	2060	1295
614	2064	1292
615	2068	1289
616	2072	1286
617	2077	1283
618	2081	1280
619	2084	1277
620	2088	1274
621	2092	1271
622	2096	1268
623	2099	1265
624	2104	1262
625	2109	1260
626	2112	1256
627	2116	1253
628	2119	1250
629	2123	1247
630	2126	1243
631	2130	1240
632	2133	1236
633	2136	1233
634	2140	1230
635	2143	1226
636	2146	1223
637	2150	1220
638	2153	1216
639	2157	1213
640	2161	1210
641	2164	1207
642	2168	1204
643	2172	1200
644	2176	1197
645	2180	1194
646	2184	1191
647	2188	1188
648	2191	1185
649	2195	1182
650	2199	1178
651	2202	1175
652	2206	1172
653	2210	1169
654	2214	1166
655	2218	1163
656	2222	1160
657	2226	1157
658	2229	1153
659	2232	1150
660	2236	1146
661	2239	1143
662	2243	1140
663	2246	1136
664	2250	1133
665	2253	1130
666	2256	1126
667	2259	1123
668	2263	1120
669	2266	1116
670	2270	1113
671	2273	1109
672	2276	1106
673	2280	1102
674	2283	1099
675	2287	1096
676	2291	1093
677	2294	1089
678	2298	1086
679	2301	1083
680	2306	1080
681	2309	1077
682	2313	1073
683	2317	1070
684	2321	1067
685	2325	1064
686	2329	1061
687	2333	1058
688	2338	1055
689	2341	1052
690	2345	1048
691	2348	1045
692	2352	1042
693	2356	1038
694	2360	1035
695	2364	1032
696	2368	1029
697	2372	1026
698	2376	1023
699	2381	1020
700	2386	1018
701	2391	1015
702	2395	1012
703	2400	1009
704	2406	1006
705	2410	1003
706	2414	1000
707	2417	997
708	2422	994
709	2427	991
710	2430	987
711	2434	984
712	2437	981
713	2441	977
714	2445	974
715	2449	971
716	2453	968
717	2457	965
718	2461	961
719	2465	958
720	2469	955
721	2473	952
722	2476	948
723	2480	945
724	2483	942
725	2487	938
726	2491	935
727	2495	932
728	2498	928
729	2502	925
730	2505	921
731	2509	918
732	2512	915
733	2516	911
734	2519	908
735	2522	904
736	2526	901
737	2529	898
738	2533	894
739	2536	891
740	2540	887
741	2543	884
742	2546	880
743	2549	877
744	2553	873
745	2556	870
746	2560	867
747	2563	863
748	2566	860
749	2569	856
750	2573	853
751	2577	849
752	2580	846
753	2584	843
754	2588	839
755	2592	836
756	2595	833
757	2599	829
758	2604	826
759	2608	823
760	2611	820
761	2615	816
762	2619	813
763	2623	810
764	2626	806
765	2630	803
766	2634	800
767	2638	796
768	2642	793
769	2646	790
770	2651	787
771	2657	784
772	2661	781
773	2665	778
774	2670	775
775	2674	772
776	2678	768
777	2682	765
778	2686	762
779	2691	759
780	2696	756
781	2699	752
782	2703	749
783	2707	745
784	2711	742
785	2714	739
786	2718	735
787	2723	732
788	2726	729
789	2730	725
790	2734	722
791	2740	719
792	2743	716
793	2747	712
794	2752	709
795	2756	706
796	2760	703
797	2764	699
798	2768	696
799	2771	692
800	2775	689
801	2778	686
802	2784	683
803	2787	679
804	2791	676
805	2794	672
806	2799	669
807	2803	666
808	2806	662
809	2811	659
810	2815	656
811	2819	652
812	2822	649
813	2826	645
814	2830	642
815	2833	638
816	2836	635
817	2839	631
818	2843	628
819	2847	624
820	2850	621
821	2853	617
822	2857	614
823	2860	611
824	2864	607
825	2867	604
826	2871	600
827	2874	597
828	2878	593
829	2881	590
830	2885	586
831	2889	583
832	2892	579
833	2895	576
834	2899	573
835	2903	569
836	2906	566
837	2909	562
838	2913	559
839	2917	555
840	2921	552
841	2926	549
842	2929	545
843	2933	542
844	2937	538
845	2941	535
846	2944	531
847	2948	528
848	2952	525
849	2956	521
850	2959	518
851	2963	514
852	2967	511
853	2971	507
854	2975	504
855	2978	501
856	2982	497
857	2985	494
858	2989	490
859	2992	487
860	2996	483
861	2999	480
862	3003	476
863	3006	473
864	3010	469
865	3013	466
866	3017	462
867	3021	459
868	3024	455
869	3027	452
870	3030	448
871	3034	445
872	3037	441
873	3041	438
874	3044	434
875	3048	431
876	3051	427
877	3054	424
878	3057	420
879	3061	417
880	3065	414
881	3068	410
882	3071	406
883	3074	403
884	3078	399
885	3081	396
886	3084	393
887	3088	389
888	3091	386
889	3095	382
890	3098	379
891	3102	375
892	3105	372
893	3109	368
894	3112	365
895	3116	361
896	3119	358
897	3123	354
898	3126	351
899	3129	347
900	3132	344
901	3136	340
902	3139	337
903	3143	333
904	3146	330
905	3150	326
906	3153	323
907	3157	319
908	3160	316
909	3163	312
910	3166	309
911	3170	305
912	3173	302
913	3176	298
914	3179	295
915	3183	291
916	3186	288
917	3190	284
918	3193	281
919	3196	277
920	3199	274
921	3203	271
922	3207	267
923	3210	264
924	3213	260
925	3217	257
926	3220	253
927	3224	250
928	3227	246
929	3231	243
930	3234	239
931	3237	236
932	3240	232
933	3244	229
934	3247	225
935	3251	222
936	3254	218
937	3259	215
938	3264	212
939	3268	208
940	3272	205
941	3276	201
942	3279	198
943	3282	194
944	3286	191
945	3289	187
946	3292	184
947	3296	180
948	3299	177
949	3302	173
950	3306	170
951	3309	166
952	3312	163
953	3315	159
954	3319	156
955	3322	152
956	3325	149
957	3328	145
958	3332	142
959	3335	138
960	3338	135
961	3341	132
962	3345	128
963	3348	125
964	3351	121
965	3354	118
966	3358	114
967	3361	111
968	3364	107
969	3367	104
970	3371	100
971	3374	97
972	3377	93
973	3381	90
974	3384	86
975	3387	83
976	3391	79
977	3394	76
978	3397	72
979	3401	69
980	3404	65
981	3407	62
982	3411	58
983	3414	55
984	3417	52
985	3421	48
986	3424	45
987	3427	41
988	3430	38
989	3434	34
990	3437	31
991	3440	27
992	3443	24
993	3447	20
994	3450	17
995	3453	13
996	3456	10
997	3460	6
998	3463	3
999	3466	0
