iter	MultiClass
0	1.478302926
1	1.378332683
2	1.304811559
3	1.238119569
4	1.183196965
5	1.136221213
6	1.09838188
7	1.062931216
8	1.031789723
9	1.003969888
10	0.9794444566
11	0.9570834751
12	0.9383376457
13	0.9208841449
14	0.905459861
15	0.890197324
16	0.8780156225
17	0.8638235935
18	0.8524999496
19	0.842112657
20	0.8324963477
21	0.8237652135
22	0.8159329927
23	0.8117446096
24	0.804423762
25	0.7982895201
26	0.7916423913
27	0.7857759301
28	0.7799804243
29	0.7752534006
30	0.7704910408
31	0.767600011
32	0.7632281637
33	0.7597371888
34	0.7563281409
35	0.7530138011
36	0.7500107357
37	0.7471677332
38	0.7453457324
39	0.7435547758
40	0.7415247916
41	0.7390229297
42	0.7362426757
43	0.7339683475
44	0.7317761134
45	0.7293921435
46	0.7267936385
47	0.7250858063
48	0.7232783099
49	0.721849793
50	0.7198625435
51	0.7189106462
52	0.7174060151
53	0.715856371
54	0.714904542
55	0.7134094438
56	0.7117677525
57	0.7107817041
58	0.7094827636
59	0.7083768414
60	0.7073906173
61	0.7064929333
62	0.7050983119
63	0.704235423
64	0.7032152701
65	0.702099289
66	0.7011965574
67	0.7002262066
68	0.6993930993
69	0.6981729127
70	0.6969085892
71	0.6960615849
72	0.6952219557
73	0.69433204
74	0.6934734613
75	0.6925541202
76	0.6916360596
77	0.6908422451
78	0.6900438246
79	0.6891142828
80	0.6883592279
81	0.6875370355
82	0.6867079666
83	0.6858629939
84	0.6849523024
85	0.6840766698
86	0.6834025684
87	0.6824563267
88	0.6817745789
89	0.6810717863
90	0.6804394439
91	0.6795947329
92	0.6792162964
93	0.6784116725
94	0.6775120747
95	0.6769650056
96	0.6761864871
97	0.6757614901
98	0.6749764917
99	0.6738180185
100	0.6730630947
101	0.6721562905
102	0.6717096256
103	0.6712033448
104	0.6704122457
105	0.6697424929
106	0.6688396113
107	0.6681625802
108	0.6676356332
109	0.6670993467
110	0.6666062527
111	0.6661934361
112	0.6656031816
113	0.6646519674
114	0.664146679
115	0.6635089312
116	0.6631570498
117	0.6624530323
118	0.6619078083
119	0.6611004334
120	0.6604675513
121	0.6598231317
122	0.6587933172
123	0.6583355925
124	0.6577927423
125	0.6573508872
126	0.6566987629
127	0.6558727229
128	0.6552567742
129	0.6546018024
130	0.6538260425
131	0.6532868714
132	0.652648012
133	0.6520043054
134	0.6513146303
135	0.6504319205
136	0.649714194
137	0.6490117894
138	0.6483346776
139	0.6480526487
140	0.647267828
141	0.6467543638
142	0.6462506509
143	0.6457704774
144	0.6453483687
145	0.6449874077
146	0.644412487
147	0.6440770396
148	0.6435229604
149	0.6428421446
150	0.6422070875
151	0.6415237307
152	0.6407683971
153	0.6400423814
154	0.6396576721
155	0.6389382724
156	0.6383439098
157	0.6378925444
158	0.6373735189
159	0.6364617661
160	0.6360278261
161	0.6356540968
162	0.6352590112
163	0.6345330721
164	0.6337086324
165	0.6332876538
166	0.6328218492
167	0.6323213071
168	0.6319488842
169	0.6315197639
170	0.6311119868
171	0.6304918168
172	0.629929548
173	0.6294526181
174	0.6286331655
175	0.6281560122
176	0.627592151
177	0.6271731726
178	0.6266278183
179	0.6261010526
180	0.6255007309
181	0.6250066638
182	0.6246395688
183	0.6240754869
184	0.6237470138
185	0.6233198733
186	0.6228693003
187	0.6222643256
188	0.6216073165
189	0.6211342035
190	0.6207848361
191	0.6202195271
192	0.6196849925
193	0.6192980059
194	0.6186864952
195	0.6181695338
196	0.6179127291
197	0.6173710928
198	0.6167355832
199	0.6161461749
200	0.6157162436
201	0.6150700424
202	0.6143616055
203	0.6140023412
204	0.6135071912
205	0.6131520867
206	0.6127147287
207	0.6122674864
208	0.6115789222
209	0.6110488359
210	0.6107233715
211	0.6102896536
212	0.6099032133
213	0.6092446224
214	0.6087792557
215	0.608056099
216	0.6076154766
217	0.6071668042
218	0.6069126322
219	0.606474053
220	0.6061175202
221	0.6056051138
222	0.6050168674
223	0.6044450392
224	0.6038329038
225	0.6033375135
226	0.6027380406
227	0.6022088316
228	0.6018582686
229	0.6012852626
230	0.6007964788
231	0.6003962054
232	0.5997897946
233	0.5993586107
234	0.5990111526
235	0.5986327404
236	0.5983271724
237	0.5977794752
238	0.5971041123
239	0.5968422241
240	0.5961350591
241	0.5957560759
242	0.595402888
243	0.5949763529
244	0.5944280505
245	0.5939695923
246	0.5935961622
247	0.5930223274
248	0.5926210021
249	0.5923974001
250	0.591917437
251	0.5915839015
252	0.5912409636
253	0.590781847
254	0.5903431912
255	0.5897668191
256	0.589392821
257	0.589028421
258	0.5884308918
259	0.5880119641
260	0.5874328243
261	0.5869548377
262	0.5865968111
263	0.5861188369
264	0.5857276477
265	0.585254681
266	0.5847759702
267	0.5843618358
268	0.5840970686
269	0.5836293331
270	0.5831196389
271	0.582855464
272	0.5824736306
273	0.5820121644
274	0.5816625099
275	0.5812507782
276	0.5808352088
277	0.5804705376
278	0.5798677352
279	0.5793839099
280	0.5790427721
281	0.5785881536
282	0.5781605919
283	0.5776092978
284	0.5774027475
285	0.5769609153
286	0.5766350701
287	0.5762586698
288	0.5759159407
289	0.5753504488
290	0.574849168
291	0.5745247958
292	0.5740270273
293	0.5736130476
294	0.5734243562
295	0.5731720446
296	0.5727168203
297	0.5719874385
298	0.5715268475
299	0.5711565776
300	0.570801201
301	0.570287581
302	0.5699759512
303	0.5695214743
304	0.5691953494
305	0.5686806351
306	0.568149557
307	0.5676411079
308	0.5671480882
309	0.5669062266
310	0.5666325755
311	0.5660034419
312	0.5655777477
313	0.5651997292
314	0.5650315434
315	0.5647250679
316	0.5643693163
317	0.5641022944
318	0.5637325518
319	0.5633447121
320	0.5628546758
321	0.5625982406
322	0.5622581354
323	0.5617695631
324	0.561545075
325	0.5611821032
326	0.5607938584
327	0.5605438716
328	0.5602528169
329	0.5599943204
330	0.5596705228
331	0.5591862712
332	0.5584607771
333	0.5580620553
334	0.5578597662
335	0.5576713417
336	0.5572111412
337	0.5569281518
338	0.55636922
339	0.5559549571
340	0.5555315799
341	0.5551628677
342	0.5546719682
343	0.5542047903
344	0.5538219776
345	0.5536391411
346	0.5531592795
347	0.5528569742
348	0.5524952846
349	0.5520694017
350	0.5517208503
351	0.5512071759
352	0.5508168106
353	0.5504610566
354	0.5501152214
355	0.5497195035
356	0.5493691492
357	0.5489705207
358	0.5484641915
359	0.5479319809
360	0.5475971257
361	0.5472396952
362	0.5468446537
363	0.5464112532
364	0.546138627
365	0.5456756703
366	0.5454002697
367	0.5450731596
368	0.5447362364
369	0.5442792285
370	0.5440476173
371	0.5437482225
372	0.5433950742
373	0.5429894457
374	0.5426972545
375	0.542286449
376	0.5419626491
377	0.5415135462
378	0.5412774196
379	0.5410375984
380	0.5406161636
381	0.5400084878
382	0.5397619646
383	0.5393988351
384	0.5390854343
385	0.5388841426
386	0.5385593485
387	0.5381676567
388	0.5379222578
389	0.537654345
390	0.537162299
391	0.5369084352
392	0.5364589705
393	0.5359613152
394	0.5356571678
395	0.5351984226
396	0.534927499
397	0.5345206059
398	0.5341991229
399	0.534011021
400	0.5335889117
401	0.5334662386
402	0.5331003426
403	0.5325846439
404	0.5322617327
405	0.5320710378
406	0.5318727843
407	0.5315592984
408	0.5311327795
409	0.5308597887
410	0.5306185477
411	0.5303113501
412	0.5300594481
413	0.5297895804
414	0.5293982699
415	0.5291348273
416	0.5287630235
417	0.5285301798
418	0.528217114
419	0.5277912915
420	0.5275826538
421	0.5274032384
422	0.5270034194
423	0.5265324125
424	0.5263948051
425	0.5261750778
426	0.525879384
427	0.5255714693
428	0.5251214322
429	0.524558106
430	0.5241474257
431	0.523828829
432	0.5232407692
433	0.523022959
434	0.522816274
435	0.5226098842
436	0.5223098634
437	0.5220640071
438	0.5218476594
439	0.5215108836
440	0.5210454778
441	0.5208447569
442	0.5204992177
443	0.5200699694
444	0.5197616024
445	0.5194328428
446	0.519209059
447	0.5186220448
448	0.5182316262
449	0.5178411408
450	0.5175593376
451	0.5173392152
452	0.5169255701
